source,key/id,uk,ru,en,pl,note
dict,Дофамін рухає тебе до мети; постійні легкі «піки» притуплюють драйв.,Дофамін рухає тебе до мети; постійні легкі «піки» притуплюють драйв.,Дофамин движет тебя к цели; постоянные лёгкие «пики» притупляют драйв.,Dopamine drives you toward goals; constant easy «spikes» blunt that drive.,Dopamina pcha cię ku celom; ciągłe łatwe „skoki” przytępiają ten napęd.,
dict,"Дофамін — про мотивацію, а не лише задоволення","Дофамін — про мотивацію, а не лише задоволення","Дофамин — о мотивации, а не только об удовольствии","Dopamine is about motivation, not just pleasure","Dopamina to motywacja, a nie tylko przyjemność",
dict,Друг-мотиватор,Друг-мотиватор,Друг-мотиватор,Motivating friend,Przyjaciel-motywator,ru=uk?
dict,Духовність,Духовність,Духовность,Spirituality,Duchowość,
dict,Душ і крижані ванни,Душ і крижані ванни,Душ и ледяные ванны,Showers and ice baths,Prysznice i lodowe kąpiele,
dict,Діаграма оцінок,Діаграма оцінок,Диаграмма оценок,Ratings chart,Wykres ocen,
dict,Діаграма сесій,Діаграма сесій,Диаграмма сессий,Sessions chart,Wykres sesji,
dict,Експорт у PDF,Експорт у PDF,Экспорт в PDF,Export to PDF,Eksport do PDF,
dict,Емоції,Емоції,Эмоции,Emotions,Emocje,
dict,Емпіричних доказів немає.,Емпіричних доказів немає.,Эмпирических доказательств нет.,No empirical evidence.,Brak dowodów empirycznych.,
dict,"Енергія, стійкість до холоду, фокус","Енергія, стійкість до холоду, фокус","Энергия, стойкость к холоду, фокус","Energy, cold tolerance, focus","Energia, odporność na zimno, skupienie",
dict,Ефект,Ефект,Эффект,Effect,Efekt,
dict,Ефект накопичувальний: навіть 10–15 хвилин на день складаються в помітний результат за місяці.,Ефект накопичувальний: навіть 10–15 хвилин на день складаються в помітний результат за місяці.,Эффект накопительный: даже 10–15 минут в день складываются в заметный результат за месяцы.,The effect compounds: even 10–15 minutes a day adds up to a noticeable result over months.,Efekt się kumuluje: nawet 10–15 minut dziennie składa się na zauważalny rezultat po miesiącach.,
dict,живіт,живіт,живот,your belly,brzuch,
dict,Живіт,Живіт,Живот,Belly,Brzuch,
dict,Живіт випромінює приємне тепло.,Живіт випромінює приємне тепло.,Живот излучает приятное тепло.,Your belly radiates pleasant warmth.,Brzuch promieniuje przyjemnym ciepłem.,
dict,Жовтень,Жовтень,Октябрь,October,Październik,
dict,Жодної затримки не зафіксовано.,Жодної затримки не зафіксовано.,Ни одной задержки не зафиксировано.,No holds recorded.,Nie zarejestrowano żadnego wstrzymania.,
dict,Жіноча,Жіноча,Женский,Female,Kobieta,
dict,З чого почати,З чого почати,С чего начать,Getting started,Od czego zacząć,
dict,З чого почати?,З чого почати?,С чего начать?,Where do I start?,Od czego zacząć?,
dict,"За традицією допомагає відпустити негатив і запустити позитивні зміни, очистити підсвідомі блоки. Використовують як підтримку при новому старті.","За традицією допомагає відпустити негатив і запустити позитивні зміни, очистити підсвідомі блоки. Використовують як підтримку при новому старті.","По традиции помогает отпустить негатив и запустить позитивные перемены, очистить подсознательные блоки. Используют как поддержку при новом старте.","By tradition it helps release the negative and start positive change, clearing subconscious blocks. Used as support for a fresh start.","Wedle tradycji pomaga puścić negatyw i uruchomić pozytywne zmiany, oczyścić podświadome blokady. Używana jako wsparcie przy nowym starcie.",
dict,"За традицією — детокс, ясність думок, самовираження й розвʼязання проблем. Використовують для прояснення розуму.","За традицією — детокс, ясність думок, самовираження й розвʼязання проблем. Використовують для прояснення розуму.","По традиции — детокс, ясность мыслей, самовыражение и решение проблем. Используют для прояснения ума.","By tradition — detox, clarity of thought, self-expression and problem-solving. Used to clear the mind.","Wedle tradycji — detoks, jasność myśli, ekspresja i rozwiązywanie problemów. Używana do rozjaśnienia umysłu.",
dict,За традицією — підтримує регенерацію тканин та відчуття цілісності тіла. Використовують як фон для відпочинку й відновлення.,За традицією — підтримує регенерацію тканин та відчуття цілісності тіла. Використовують як фон для відпочинку й відновлення.,По традиции — поддерживает регенерацию тканей и чувство целостности тела. Используют как фон для отдыха и восстановления.,By tradition — supports tissue regeneration and a sense of bodily wholeness. Used as a background for rest and recovery.,Wedle tradycji — wspiera regenerację tkanek i poczucie integralności ciała. Używany jako tło do odpoczynku i regeneracji.,
dict,Забув пароль?,Забув пароль?,Забыл пароль?,Forgot password?,Nie pamiętasz hasła?,
dict,Завантаження…,Завантаження…,Загрузка…,Loading…,Ładowanie…,
dict,Завантажити фото,Завантажити фото,Загрузить фото,Upload photo,Wgraj zdjęcie,
dict,Завдання й винагороди,Завдання й винагороди,Задания и награды,Goals and rewards,Zadania i nagrody,
dict,Завершений,Завершений,Завершён,Finished,Zakończone,
dict,Завершення,Завершення,Завершение,Finish,Zakończenie,
dict,Завершення холодом бадьорить,Завершення холодом бадьорить,Завершение холодом бодрит,Finishing cold is energizing,Zakończenie zimnem dodaje energii,
dict,завершено,завершено,завершено,finished,zakończono,ru=uk?
dict,Завершено ,Завершено ,Завершено ,Completed ,Ukończono ,ru=uk?
dict,Завершені,Завершені,Завершённые,Finished,Zakończone,
dict,"Заверши звичайний душ прохолодною, далі холодною водою. Дихай повільно й рівно, не затримуй дих від шоку. Дає бадьорість і дофамін надовго, гартує судини й імунітет.","Заверши звичайний душ прохолодною, далі холодною водою. Дихай повільно й рівно, не затримуй дих від шоку. Дає бадьорість і дофамін надовго, гартує судини й імунітет.","Заверши обычный душ прохладной, затем холодной водой. Дыши медленно и ровно, не задерживай дыхание от шока. Даёт бодрость и дофамин надолго, закаляет сосуды и иммунитет.","Finish an ordinary shower with cool, then cold water. Breathe slowly and evenly, don't hold your breath from the shock. Gives lasting alertness and dopamine, conditions vessels and immunity.","Zakończ zwykły prysznic chłodną, a potem zimną wodą. Oddychaj powoli i równo, nie wstrzymuj oddechu z szoku. Daje energię i dopaminę na długo, hartuje naczynia i odporność.",
dict,Завершити,Завершити,Завершить,Finish,Zakończ,
dict,Завершити затримку,Завершити затримку,Завершить задержку,End the hold,Zakończ wstrzymanie,
dict,Загальна інформація про тебе. Зберігається у твоєму акаунті.,Загальна інформація про тебе. Зберігається у твоєму акаунті.,Общая информация о тебе. Хранится в твоём аккаунте.,General info about you. Stored in your account.,Ogólne informacje o tobie. Przechowywane na twoim koncie.,
dict,Загартований,Загартований,Закалённый,Hardened,Zahartowany,
dict,Загартув.,Загартув.,Закалка,Cond.,Hart.,
dict,Загартування,Загартування,Закалка,Conditioning,Hartowanie,
dict,Заземлення,Заземлення,Заземление,Grounding,Uziemienie,
dict,Заземлення 5-4-3-2-1,Заземлення 5-4-3-2-1,Заземление 5-4-3-2-1,Grounding 5-4-3-2-1,Uziemienie 5-4-3-2-1,
dict,Закрити,Закрити,Закрыть,Close,Zamknij,
dict,Закрити цю ціль? Вона перейде в закриті.,Закрити цю ціль? Вона перейде в закриті.,Закрыть эту цель? Она перейдёт в закрытые.,Close this goal? It will move to closed.,Zamknąć ten cel? Przejdzie do zamkniętych.,
dict,Закрити ціль,Закрити ціль,Закрыть цель,Close goal,Zamknij cel,
dict,Закритих цілей немає.,Закритих цілей немає.,Закрытых целей нет.,No closed goals yet.,Brak zamkniętych celów.,
dict,Закриті цілі,Закриті цілі,Закрытые цели,Closed goals,Zamknięte cele,
dict,Залишилось ,Залишилось ,Осталось ,Remaining ,Pozostało ,
dict,Залізний,Залізний,Железный,Iron,Żelazny,
dict,Замало,Замало,Недостаточно,Not enough,Za mało,
dict,Замало для запису,Замало для запису,Слишком мало для записи,Too short to log,"Za mało, by zapisać",
dict,"Занурення в холод сильно підіймає рівень норадреналіну та дофаміну, і цей підйом тримається годинами. Саме тому після холоду зʼявляється чіткість і піднесення.","Занурення в холод сильно підіймає рівень норадреналіну та дофаміну, і цей підйом тримається годинами. Саме тому після холоду зʼявляється чіткість і піднесення.","Погружение в холод сильно поднимает уровень норадреналина и дофамина, и этот подъём держится часами. Именно поэтому после холода появляется ясность и подъём.","Cold immersion strongly raises noradrenaline and dopamine, and the rise lasts for hours. That's why clarity and a lift follow the cold.","Zanurzenie w zimnie mocno podnosi poziom noradrenaliny i dopaminy, a ten wzrost utrzymuje się godzinami. Dlatego po zimnie pojawia się jasność i uniesienie.",
dict,"Занурення у крижану воду — потужне відновлення після навантажень і тренування стійкості. Контролюй дихання, виходь, якщо німіють кінцівки або сильно трусить.","Занурення у крижану воду — потужне відновлення після навантажень і тренування стійкості. Контролюй дихання, виходь, якщо німіють кінцівки або сильно трусить.","Погружение в ледяную воду — мощное восстановление после нагрузок и тренировка стойкости. Контролируй дыхание, выходи, если немеют конечности или сильно трясёт.","Immersion in ice water is powerful recovery after loads and a resilience workout. Control your breathing, get out if your limbs go numb or you shiver hard.","Zanurzenie w lodowatej wodzie to potężna regeneracja po wysiłku i trening odporności. Kontroluj oddech, wyjdź, jeśli drętwieją kończyny lub mocno się trzęsiesz.",
dict,Запитати помічника,Запитати помічника,Спросить помощника,Ask the assistant,Zapytaj asystenta,term:помічник/наставник?
dict,Запитати ›,Запитати ›,Спросить ›,Ask ›,Zapytaj ›,
dict,Заплющ очі та зморщ усе обличчя.,Заплющ очі та зморщ усе обличчя.,Закрой глаза и сморщи всё лицо.,Close your eyes and scrunch up your whole face.,Zamknij oczy i zmarszcz całą twarz.,
dict,Запросити,Запросити,Пригласить,Invite,Zaproś,
dict,Запросити друга ›,Запросити друга ›,Пригласить друга ›,Invite a friend ›,Zaproś znajomego ›,
dict,Запросити людину,Запросити людину,Пригласить человека,Invite a person,Zaproś osobę,
dict,Запрошення,Запрошення,Приглашения,Invitations,Zaproszenia,
dict,Запрошення надіслано,Запрошення надіслано,Приглашение отправлено,Invitation sent,Zaproszenie wysłane,
dict,Запрошення у спільноту,Запрошення у спільноту,Приглашение в сообщество,Community invitation,Zaproszenie do społeczności,
dict,Заряд бадьорості й дофаміну,Заряд бадьорості й дофаміну,Заряд бодрости и дофамина,A boost of alertness and dopamine,Zastrzyk energii i dopaminy,
dict,Засинання супроводжується падінням внутрішньої температури тіла. Прохолодна спальня (близько 18–19 °C) підтримує цей процес і покращує глибину сну.,Засинання супроводжується падінням внутрішньої температури тіла. Прохолодна спальня (близько 18–19 °C) підтримує цей процес і покращує глибину сну.,Засыпание сопровождается падением внутренней температуры тела. Прохладная спальня (около 18–19 °C) поддерживает этот процесс и улучшает глубину сна.,Falling asleep comes with a drop in core body temperature. A cool bedroom (about 18–19 °C) supports this and improves sleep depth.,Zasypianiu towarzyszy spadek temperatury wewnętrznej ciała. Chłodna sypialnia (około 18–19 °C) wspiera ten proces i poprawia głębokość snu.,
dict,Засинання та зняття тривоги,Засинання та зняття тривоги,Засыпание и снятие тревоги,Falling asleep and easing anxiety,Zasypianie i redukcja lęku,
dict,Заспокоює розум і тіло,Заспокоює розум і тіло,Успокаивает ум и тело,Calms mind and body,Uspokaja umysł i ciało,
dict,Затримай,Затримай,Задержи,Hold,Wstrzymaj,
dict,Затримай на видиху,Затримай на видиху,Задержи на выдохе,Hold on the exhale,Wstrzymaj na wydechu,
dict,затримка ,затримка ,задержка ,hold ,wstrzymanie ,
dict,Затримка 2 хв,Затримка 2 хв,Задержка 2 мин,2 min hold,Wstrzymanie 2 min,
dict,Затримка 3 хв,Затримка 3 хв,Задержка 3 мин,3 min hold,Wstrzymanie 3 min,
dict,Затримка 4 хв,Затримка 4 хв,Задержка 4 мин,4 min hold,Wstrzymanie 4 min,
dict,Затримка 5 хв,Затримка 5 хв,Задержка 5 мин,5 min hold,Wstrzymanie 5 min,
dict,Затримка 60 с,Затримка 60 с,Задержка 60 с,60 s hold,Wstrzymanie 60 s,
dict,Затримка дихання тренує толерантність до CO₂,Затримка дихання тренує толерантність до CO₂,Задержка дыхания тренирует толерантность к CO₂,Breath-holding trains CO₂ tolerance,Wstrzymywanie oddechu trenuje tolerancję na CO₂,
dict,Затримки,Затримки,Задержки,Holds,Wstrzymania,
dict,Затримки тренують реакцію мозку на дискомфорт,Затримки тренують реакцію мозку на дискомфорт,Задержки тренируют реакцию мозга на дискомфорт,Holds train the brain's response to discomfort,Wstrzymania trenują reakcję mózgu na dyskomfort,
dict,Заявлена регенерація тканин і підтримка імунітету. Традиційна інтерпретація без клінічних даних.,Заявлена регенерація тканин і підтримка імунітету. Традиційна інтерпретація без клінічних даних.,Заявлена регенерация тканей и поддержка иммунитета. Традиционная интерпретация без клинических данных.,Claimed tissue regeneration and immune support. A traditional interpretation with no clinical data.,Deklarowana regeneracja tkanek i wsparcie odporności. Tradycyjna interpretacja bez danych klinicznych.,
dict,Заявлений зв'язок з інтуїцією й «духовним порядком». Основа суто езотерична.,Заявлений зв'язок з інтуїцією й «духовним порядком». Основа суто езотерична.,Заявлена связь с интуицией и «духовным порядком». Основа сугубо эзотерическая.,A claimed link to intuition and «spiritual order». A purely esoteric basis.,Deklarowany związek z intuicją i „porządkiem duchowym”. Podstawa czysto ezoteryczna.,
dict,Заявлений зв'язок зі стосунками й комунікацією («серцева чакра»). Без емпіричної перевірки.,Заявлений зв'язок зі стосунками й комунікацією («серцева чакра»). Без емпіричної перевірки.,Заявлена связь с отношениями и коммуникацией («сердечная чакра»). Без эмпирической проверки.,A claimed link to relationships and communication (the «heart chakra»). No empirical testing.,Deklarowany związek z relacjami i komunikacją („czakra serca”). Bez weryfikacji empirycznej.,
dict,Зберегти,Зберегти,Сохранить,Save,Zapisz,
dict,Зберегти новий пароль,Зберегти новий пароль,Сохранить новый пароль,Save new password,Zapisz nowe hasło,
dict,Зберегти оцінку,Зберегти оцінку,Сохранить оценку,Save rating,Zapisz ocenę,
dict,Зберегти пароль,Зберегти пароль,Сохранить пароль,Save password,Zapisz hasło,
dict,Збереження…,Збереження…,Сохранение…,Saving…,Zapisywanie…,
dict,Збережено,Збережено,Сохранено,Saved,Zapisano,
dict,Збережено в календар,Збережено в календар,Сохранено в календарь,Saved to calendar,Zapisano w kalendarzu,
dict,Збережено ✓,Збережено ✓,Сохранено ✓,Saved ✓,Zapisano ✓,
dict,Звання,Звання,Звание,Rank,Ranga,
dict,Звання відкриваються за рівнями — кожні 3 рівні новий ранг.,Звання відкриваються за рівнями — кожні 3 рівні новий ранг.,Звания открываются по уровням — каждые 3 уровня новый ранг.,Titles unlock by level — a new rank every 3 levels.,Tytuły odblokowują się według poziomów — nowa ranga co 3 poziomy.,
dict,Зверни увагу на 1 смак у роті або згадай улюблений.,Зверни увагу на 1 смак у роті або згадай улюблений.,Обрати внимание на 1 вкус во рту или вспомни любимый.,"Notice 1 taste in your mouth, or recall a favourite one.",Zwróć uwagę na 1 smak w ustach lub przypomnij sobie ulubiony.,
dict,Звичка,Звичка,Привычка,Habit,Nawyk,
dict,Звички,Звички,Привычки,Habits,Nawyki,
dict,Звички (зриви),Звички (зриви),Привычки (срывы),Habits (slips),Nawyki (wpadki),
dict,Звички (обери одну чи кілька),Звички (обери одну чи кілька),Привычки (выбери одну или несколько),Habits (pick one or more),Nawyki (wybierz jeden lub kilka),
dict,Звички сьогодні,Звички сьогодні,Привычки сегодня,Habits today,Nawyki dziś,
dict,Звички: ,Звички: ,Привычки: ,Habits: ,Nawyki: ,
dict,Звук дихання,Звук дихання,Звук дыхания,Breath sound,Dźwięk oddechu,
dict,Звуки природи,Звуки природи,Звуки природы,Nature sounds,Dźwięki natury,
dict,Звукові підказки (вдих/видих),Звукові підказки (вдих/видих),Звуковые подсказки (вдох/выдох),Sound cues (inhale/exhale),Podpowiedzi dźwiękowe (wdech/wydech),
dict,"Звідки береться твій рівень, звання й очки навичок.","Звідки береться твій рівень, звання й очки навичок.","Откуда берётся твой уровень, звание и очки навыков.","Where your level, rank and skill points come from.","Skąd biorą się twój poziom, ranga i punkty umiejętności.",
dict,"Звідси відкриваються практики: дихання, холод, вправи, частоти, антистрес. У демо їх можна роздивитись, а проходити — вже зі своїм акаунтом.","Звідси відкриваються практики: дихання, холод, вправи, частоти, антистрес. У демо їх можна роздивитись, а проходити — вже зі своїм акаунтом.","Отсюда открываются практики: дыхание, холод, упражнения, частоты, антистресс. В демо их можно рассмотреть, а проходить — уже со своим аккаунтом.","Practices open from here: breathing, cold, exercises, frequencies, anti-stress. In the demo you can look around; to actually do them, use your own account.","Stąd otwierają się praktyki: oddech, zimno, ćwiczenia, częstotliwości, antystres. W demie możesz się rozejrzeć, a wykonywać je — już z własnym kontem.",
dict,Здоровʼя плечей,Здоровʼя плечей,Здоровье плеч,Shoulder health,Zdrowie barków,
dict,Зміна пароля,Зміна пароля,Смена пароля,Change password,Zmiana hasła,
dict,Змінити оцінку дня,Змінити оцінку дня,Изменить оценку дня,Edit day rating,Zmień ocenę dnia,
dict,змінити ›,змінити ›,изменить ›,edit ›,zmień ›,
dict,"Знайди 3 відчуття дотику: одяг на шкірі, опора під тобою, температура повітря.","Знайди 3 відчуття дотику: одяг на шкірі, опора під тобою, температура повітря.","Найди 3 ощущения прикосновения: одежда на коже, опора под тобой, температура воздуха.","Find 3 touch sensations: clothes on your skin, the support beneath you, the air temperature.","Znajdź 3 odczucia dotyku: ubranie na skórze, oparcie pod tobą, temperatura powietrza.",
dict,Знання,Знання,Знание,Knowledge,Wiedza,
dict,Знижує запалення,Знижує запалення,Снижает воспаление,Reduces inflammation,Obniża stan zapalny,
dict,Знижує стрес і тривогу,Знижує стрес і тривогу,Снижает стресс и тревогу,Reduces stress and anxiety,Obniża stres i lęk,
dict,Знижує тривожність,Знижує тривожність,Снижает тревожность,Reduces anxiety,Obniża lękliwość,
dict,Знімає м'язову напругу й тривогу,Знімає м'язову напругу й тривогу,Снимает мышечное напряжение и тревогу,Releases muscle tension and anxiety,Redukuje napięcie mięśni i lęk,
dict,Зосереджений,Зосереджений,Сосредоточенный,Focused,Skupiony,
dict,Зрив,Зрив,Срыв,Slip,Wpadka,
dict,Зрив сьогодні ✓,Зрив сьогодні ✓,Срыв сегодня ✓,Slip today ✓,Wpadka dziś ✓,
dict,Зрив ✓,Зрив ✓,Срыв ✓,Slip ✓,Wpadka ✓,
dict,Зривів,Зривів,Срывов,Slips,Wpadek,
dict,Зроби кілька практик — і тут з'явиться твоя динаміка.,Зроби кілька практик — і тут з'явиться твоя динаміка.,Сделай несколько практик — и тут появится твоя динамика.,Do a few practices — and your trend will appear here.,Wykonaj kilka praktyk — a pojawi się tu twój trend.,
dict,"Зроби першу практику — і твої навички почнуть рости, а рівень підійматися.","Зроби першу практику — і твої навички почнуть рости, а рівень підійматися.","Пройди первую практику — и твои навыки начнут расти, а уровень подниматься.",Do your first practice — your skills will start growing and your level will rise.,"Wykonaj pierwszą praktykę — twoje umiejętności zaczną rosnąć, a poziom się podniesie.",
dict,Зручний інструмент для денного перезавантаження або коли вночі недоспав. 10–20 хвилин зазвичай достатньо.,Зручний інструмент для денного перезавантаження або коли вночі недоспав. 10–20 хвилин зазвичай достатньо.,Удобный инструмент для дневной перезагрузки или когда ночью недоспал. 10–20 минут обычно достаточно.,A handy tool for a midday reset or after a short night. 10–20 minutes is usually enough.,Wygodne narzędzie na dzienny reset albo gdy nie dospałeś w nocy. 10–20 minut zwykle wystarcza.,pl-gender
dict,Зручно перед стресовою ситуацією,Зручно перед стресовою ситуацією,Удобно перед стрессовой ситуацией,Handy before a stressful moment,Przydatne przed stresującą sytuacją,
dict,"Зріст, см","Зріст, см","Рост, см","Height, cm","Wzrost, cm",
dict,Зупинити,Зупинити,Остановить,Stop,Zatrzymaj,
dict,Зцілювальна музика,Зцілювальна музика,Исцеляющая музыка,Healing music,Muzyka uzdrawiająca,
dict,Зігни руки в ліктях і напруж передпліччя.,Зігни руки в ліктях і напруж передпліччя.,Согни руки в локтях и напряги предплечья.,Bend your elbows and tense your forearms.,Zegnij ręce w łokciach i napnij przedramiona.,
dict,"Йому приписують гармонізацію, зменшення стресу й навіть «відновлення ДНК». Найчастіше використовують для медитації, вдячності та спокою.","Йому приписують гармонізацію, зменшення стресу й навіть «відновлення ДНК». Найчастіше використовують для медитації, вдячності та спокою.","Ему приписывают гармонизацию, снижение стресса и даже «восстановление ДНК». Чаще всего используют для медитации, благодарности и спокойствия.","It's credited with harmonization, stress reduction and even «DNA repair». Most often used for meditation, gratitude and calm.","Przypisuje się mu harmonizację, redukcję stresu, a nawet „naprawę DNA”. Najczęściej używany do medytacji, wdzięczności i spokoju.",
dict,"Йому приписують зв'язок із інтуїцією та відчуттям єдності, активацію «шишковидної залози». Для глибокої медитації й тиші розуму.","Йому приписують зв'язок із інтуїцією та відчуттям єдності, активацію «шишковидної залози». Для глибокої медитації й тиші розуму.","Ему приписывают связь с интуицией и чувством единства, активацию «шишковидной железы». Для глубокой медитации и тишины ума.","It's credited with a link to intuition and a sense of unity, and with activating the «pineal gland». For deep meditation and quiet of mind.",Przypisuje się mu związek z intuicją i poczuciem jedności oraz aktywację „szyszynki”. Do głębokiej medytacji i ciszy umysłu.,
dict,Календар,Календар,Календарь,Calendar,Kalendarz,
dict,Календар і аналіз,Календар і аналіз,Календарь и анализ,Calendar and analysis,Kalendarz i analiza,
dict,Календар — активність,Календар — активність,Календарь — активность,Calendar — activity,Kalendarz — aktywność,
dict,Кардіо,Кардіо,Кардио,Cardio,Cardio,pl=en?
dict,Кардіо тренування,Кардіо тренування,Кардио тренировки,Cardio training,Trening cardio,
dict,Категорія,Категорія,Категория,Category,Kategoria,
dict,Категорія навички,Категорія навички,Категория навыка,Skill category,Kategoria umiejętności,
dict,Квадратне,Квадратне,Квадратное,Box,Kwadratowy,
dict,Квадратне дихання,Квадратне дихання,Квадратное дыхание,Box breathing,Oddech kwadratowy,
dict,"Квадратне дихання 4-4-4-4 (вдих-затримка-видих-затримка). Швидко заспокоює й повертає контроль. Ідеально перед співбесідою, складною розмовою чи коли нервуєш.","Квадратне дихання 4-4-4-4 (вдих-затримка-видих-затримка). Швидко заспокоює й повертає контроль. Ідеально перед співбесідою, складною розмовою чи коли нервуєш.","Квадратное дыхание 4-4-4-4 (вдох-задержка-выдох-задержка). Быстро успокаивает и возвращает контроль. Идеально перед собеседованием, сложным разговором или когда нервничаешь.","Box breathing 4-4-4-4 (inhale-hold-exhale-hold). Quickly calms you and restores control. Perfect before an interview, a hard conversation, or when you're nervous.","Oddech kwadratowy 4-4-4-4 (wdech-wstrzymanie-wydech-wstrzymanie). Szybko uspokaja i przywraca kontrolę. Idealny przed rozmową kwalifikacyjną, trudną rozmową lub gdy się denerwujesz.",
dict,Квітень,Квітень,Апрель,April,Kwiecień,
dict,Керована увага по тілу,Керована увага по тілу,Управляемое внимание по телу,Guided body attention,Prowadzona uwaga po ciele,
dict,Керована увага по тілу зверху вниз.,Керована увага по тілу зверху вниз.,Управляемое внимание по телу сверху вниз.,"Guided attention through the body, top to bottom.",Prowadzona uwaga przez ciało od góry do dołu.,
dict,"Кероване розслаблення лежачи поповнює ресурс, навіть якщо ти не заснув.","Кероване розслаблення лежачи поповнює ресурс, навіть якщо ти не заснув.","Управляемое расслабление лёжа пополняет ресурс, даже если ты не заснул.","Guided relaxation lying down restores you, even without falling asleep.","Prowadzony relaks na leżąco odbudowuje zasoby, nawet jeśli nie zaśniesz.",
dict,Керований дискомфорт тренує самовладання,Керований дискомфорт тренує самовладання,Управляемый дискомфорт тренирует самообладание,Controlled discomfort trains self-control,Kontrolowany dyskomfort trenuje panowanie nad sobą,
dict,Кисті рук,Кисті рук,Кисти рук,Hands,Dłonie,
dict,Клас,Клас,Класс,Class,Klasa,
dict,Клас: ,Клас: ,Класс: ,Class: ,Klasa: ,
dict,Клас: Споглядач розуму,Клас: Споглядач розуму,Класс: Созерцатель разума,Class: Mind Contemplator,Klasa: Obserwator umysłu,
dict,Класи,Класи,Классы,Classes,Klasy,
dict,"Ключ — поступовість і регулярність, а не екстремальність. Кілька хвилин достатньо.","Ключ — поступовість і регулярність, а не екстремальність. Кілька хвилин достатньо.","Ключ — постепенность и регулярность, а не экстремальность. Нескольких минут достаточно.","The key is gradual regularity, not extremes. A few minutes is enough.","Klucz to stopniowość i regularność, a nie ekstremalność. Kilka minut wystarczy.",
dict,Ключове,Ключове,Главное,Key points,Najważniejsze,
dict,"Клінічних доказів немає — це практика наміру, а не медицина.","Клінічних доказів немає — це практика наміру, а не медицина.","Клинических доказательств нет — это практика намерения, а не медицина.","There's no clinical evidence — it's a practice of intention, not medicine.","Brak dowodów klinicznych — to praktyka intencji, a nie medycyna.",
dict,книг,книг,книг,books,książek,ru=uk?
dict,Книга,Книга,Книга,Book,Książka,ru=uk?
dict,Книги,Книги,Книги,Books,Książki,ru=uk?
dict,Когерентне дихання,Когерентне дихання,Когерентное дыхание,Coherent breathing,Oddech koherentny,
dict,Когерентне дихання ~5.5 за хвилину,Когерентне дихання ~5.5 за хвилину,Когерентное дыхание ~5.5 в минуту,Coherent breathing ~5.5 per minute,"Oddech koherentny ~5,5 na minutę",
dict,Когерентне дихання ~5.5 с вдих і видих максимізує HRV — показник стресостійкості. Гарна щоденна 5-хвилинна база.,Когерентне дихання ~5.5 с вдих і видих максимізує HRV — показник стресостійкості. Гарна щоденна 5-хвилинна база.,Когерентное дыхание ~5.5 с вдох и выдох максимизирует HRV — показатель стрессоустойчивости. Хорошая ежедневная 5-минутная база.,Coherent breathing ~5.5 s in and out maximizes HRV — a marker of stress resilience. A good daily 5-minute base.,"Oddech koherentny ~5,5 s wdech i wydech maksymalizuje HRV — wskaźnik odporności na stres. Dobra codzienna 5-minutowa baza.",
dict,Кожен день із практикою позначено — так наочно видно твою серію й ритм занять.,Кожен день із практикою позначено — так наочно видно твою серію й ритм занять.,Каждый день с практикой отмечен — так наглядно видно твою серию и ритм занятий.,Every day with a practice is marked — so you can clearly see your streak and rhythm.,Każdy dzień z praktyką jest oznaczony — tak wyraźnie widać twoją serię i rytm.,
dict,Кожна практика лишає слід.,Кожна практика лишає слід.,Каждая практика оставляет след.,Every practice leaves a mark.,Każda praktyka zostawia ślad.,
dict,Кожна практика розподіляє зароблені очки між навичками за фіксованим вектором — тому одна дія може качати кілька навичок водночас.,Кожна практика розподіляє зароблені очки між навичками за фіксованим вектором — тому одна дія може качати кілька навичок водночас.,Каждая практика распределяет заработанные очки между навыками по фиксированному вектору — поэтому одно действие может качать несколько навыков сразу.,Every practice distributes the points you earn across skills by a fixed vector — so one action can train several skills at once.,Każda praktyka rozdziela zdobyte punkty między umiejętności według stałego wektora — więc jedna czynność może rozwijać kilka umiejętności naraz.,
dict,"Кожна реальна практика — дихання Віма Хофа, холод, статичні вправи, медитація, частоти, читання — перетворюється на досвід (XP) гілок розвитку, рівні й ранги. Окрема механіка «Воля» винагороджує сталість.","Кожна реальна практика — дихання Віма Хофа, холод, статичні вправи, медитація, частоти, читання — перетворюється на досвід (XP) гілок розвитку, рівні й ранги. Окрема механіка «Воля» винагороджує сталість.","Каждая реальная практика — дыхание Вима Хофа, холод, статические упражнения, медитация, частоты, чтение — превращается в опыт (XP) веток развития, уровни и ранги. Отдельная механика «Воля» вознаграждает постоянство.","Every real practice — Wim Hof breathing, cold, static exercises, meditation, frequencies, reading — turns into experience (XP) for growth branches, levels and ranks. A separate «Will» mechanic rewards consistency.","Każda realna praktyka — oddech Wima Hofa, zimno, ćwiczenia statyczne, medytacja, częstotliwości, czytanie — zamienia się w doświadczenie (XP) gałęzi rozwoju, poziomy i rangi. Osobny mechanizm „Wola” nagradza systematyczność.",
dict,Кожні 3 рівні відкривається нове звання — твій титул за витримку:,Кожні 3 рівні відкривається нове звання — твій титул за витримку:,Каждые 3 уровня открывается новое звание — твой титул за выдержку:,Every 3 levels you unlock a new rank — your title for perseverance:,Co 3 poziomy odblokowujesz nową rangę — twój tytuł za wytrwałość:,
dict,Коли закінчується,Коли закінчується,Когда заканчивается,When it ends,Kiedy się kończy,
