source,key/id,uk,es,fr,de,note
dict,Віха серії,Віха серії,Hito de la racha,Étape de la série,Serien-Meilenstein,
dict,Гарний початок! Кілька днів поспіль — і звичка закріпиться.,Гарний початок! Кілька днів поспіль — і звичка закріпиться.,¡Buen comienzo! Unos días seguidos y el hábito se asienta.,Bon début ! Quelques jours d'affilée et l'habitude s'installe.,Guter Start! Ein paar Tage in Folge und die Gewohnheit festigt sich.,
dict,Гарно перед сном,Гарно перед сном,Bien antes de dormir,Idéal avant de dormir,Gut vor dem Schlafen,
dict,Гартований,Гартований,Curtido,Aguerri,Abgehärtet,
dict,Гартує імунітет,Гартує імунітет,Endurece la inmunidad,Renforce l'immunité,Stärkt die Immunität,
dict,Гасить гостру тривогу,Гасить гостру тривогу,Apaga la ansiedad aguda,Apaise l'anxiété aiguë,Dämpft akute Angst,
dict,Глибоке відновлення й стійкість,Глибоке відновлення й стійкість,Recuperación profunda y resistencia,Récupération profonde et résilience,Tiefe Erholung und Widerstandskraft,
dict,Глибоке розслаблення,Глибоке розслаблення,Relajación profunda,Relaxation profonde,Tiefe Entspannung,
dict,Глибокий вдих і тримай,Глибокий вдих і тримай,Inhala hondo y mantén,Inspire à fond et tiens,Tief einatmen und halten,
dict,Глибокий відпочинок без засинання,Глибокий відпочинок без засинання,Descanso profundo sin dormirse,Repos profond sans s'endormir,Tiefe Erholung ohne einzuschlafen,
dict,"Глибокий дельта-сон — це коли тіло найактивніше відновлюється: росте мʼязова тканина, працює імунітет, консолідується памʼять. Слухають перед сном, щоб швидше засинати й спати глибше.","Глибокий дельта-сон — це коли тіло найактивніше відновлюється: росте мʼязова тканина, працює імунітет, консолідується памʼять. Слухають перед сном, щоб швидше засинати й спати глибше.","El sueño delta profundo es cuando el cuerpo más se recupera: crece el tejido muscular, trabaja la inmunidad, se consolida la memoria. Se escucha antes de dormir para conciliar el sueño antes y dormir más profundo.","Le sommeil delta profond, c'est quand le corps récupère le plus : le tissu musculaire croît, l'immunité travaille, la mémoire se consolide. On l'écoute avant de dormir pour s'endormir plus vite et dormir plus profondément.","Der tiefe Delta-Schlaf ist die Phase stärkster Erholung: Muskelgewebe wächst, das Immunsystem arbeitet, das Gedächtnis festigt sich. Man hört ihn vor dem Schlaf, um schneller einzuschlafen und tiefer zu schlafen.",
dict,Глибокий спокій,Глибокий спокій,Calma profunda,Sérénité profonde,Tiefe Ruhe,
dict,Глибоко вдихни й зведи лопатки разом.,Глибоко вдихни й зведи лопатки разом.,Inhala profundamente y junta los omóplatos.,Inspire profondément et rapproche les omoplates.,Atme tief ein und ziehe die Schulterblätter zusammen.,
dict,"Глибокі дихання, потім затримка на видиху. Подвійний тап або кнопка завершують затримку.","Глибокі дихання, потім затримка на видиху. Подвійний тап або кнопка завершують затримку.",Respiraciones profundas y luego retención en la exhalación. Doble toque o el botón terminan la retención.,"Respirations profondes, puis rétention sur l'expiration. Double tap ou le bouton met fin à la rétention.","Tiefe Atemzüge, dann Halten beim Ausatmen. Doppeltippen oder die Taste beenden das Halten.",
dict,Глибше за гортання стрічки,Глибше за гортання стрічки,Más profundo que hacer scroll,Plus profond que scroller un fil,Tiefer als Feed-Scrollen,
dict,Гнучкість спини,Гнучкість спини,Flexibilidad de la espalda,Souplesse du dos,Flexibilität des Rückens,
dict,Гнучкість спини й грудей,Гнучкість спини й грудей,Flexibilidad de espalda y pecho,Souplesse du dos et de la poitrine,Flexibilität von Rücken und Brust,
dict,Головна,Головна,Inicio,Accueil,Start,
dict,Гомілки,Гомілки,Pantorrillas,Mollets,Waden,
dict,Готово,Готово,Listo,Terminé,Fertig,
dict,Грудень,Грудень,Diciembre,Décembre,Dezember,
dict,Груди та спина,Груди та спина,Pecho y espalda,Poitrine et dos,Brust und Rücken,
dict,Гучних медичних обіцянок уникай,Гучних медичних обіцянок уникай,Evita promesas médicas grandilocuentes,Évite les promesses médicales tapageuses,Vermeide laute medizinische Versprechen,
dict,Гід,Гід,Guía,Guide,Anleitung,
dict,"Дай наставнику ім'я і обери, як він тебе підтримуватиме.","Дай наставнику ім'я і обери, як він тебе підтримуватиме.",Ponle un nombre a tu mentor y elige cómo te apoyará.,Donne un nom à ton mentor et choisis comment il te soutiendra.,"Gib deinem Mentor einen Namen und wähle, wie er dich unterstützt.",
dict,Далі,Далі,Siguiente,Suivant,Weiter,
dict,Далі: завершення,Далі: завершення,Siguiente: finalizar,Suivant : fin,Weiter: Abschluss,
dict,Дата,Дата,Fecha,Date,Datum,
dict,Дата вже минула,Дата вже минула,La fecha ya pasó,La date est déjà passée,Das Datum liegt bereits in der Vergangenheit,
dict,Дата народження,Дата народження,Fecha de nacimiento,Date de naissance,Geburtsdatum,
dict,Два вдихи підряд і довгий видих — найшвидший спосіб збити гострий стрес.,Два вдихи підряд і довгий видих — найшвидший спосіб збити гострий стрес.,Dos inhalaciones seguidas y un exhale largo: la forma más rápida de bajar el estrés agudo.,Deux inspirations d'affilée et une longue expiration : le moyen le plus rapide de calmer un stress aigu.,"Zwei Einatmungen hintereinander und ein langes Ausatmen — der schnellste Weg, akuten Stress zu senken.",
dict,Дедлайн (необов’язково),Дедлайн (необов’язково),Fecha límite (opcional),Date limite (facultatif),Frist (optional),
dict,Декомпресія хребта,Декомпресія хребта,Descompresión de la columna,Décompression de la colonne,Dekompression der Wirbelsäule,
dict,Демо режим,Демо режим,Modo demo,Mode démo,Demo-Modus,
dict,Денна ціль,Денна ціль,Objetivo diario,Objectif quotidien,Tagesziel,
dict,Дерево навичок,Дерево навичок,Árbol de habilidades,Arbre de compétences,Fähigkeitsbaum,
dict,Детально ›,Детально ›,Detalles ›,Détails ›,Details ›,
dict,Детально →,Детально →,Detalles →,Détails →,Details →,
dict,Детальніше ›,Детальніше ›,Más ›,En savoir plus ›,Mehr ›,
dict,Джеймс Клір,Джеймс Клір,James Clear,James Clear,James Clear,
dict,Джеймс Нестор,Джеймс Нестор,James Nestor,James Nestor,James Nestor,
dict,Джерела,Джерела,Fuentes,Sources,Quellen,
dict,"Динаміка твоїх практик і оцінок за обраний період. Перемикай метрику й діапазон, щоб побачити прогрес.","Динаміка твоїх практик і оцінок за обраний період. Перемикай метрику й діапазон, щоб побачити прогрес.",La evolución de tus prácticas y valoraciones en el período elegido. Cambia la métrica y el rango para ver tu progreso.,L'évolution de tes pratiques et de tes notes sur la période choisie. Change de métrique et de plage pour voir ta progression.,"Der Verlauf deiner Praktiken und Bewertungen im gewählten Zeitraum. Wechsle Metrik und Bereich, um deinen Fortschritt zu sehen.",
dict,"Дискомфорт у затримці — це реакція на вуглекислий газ, а не брак кисню.","Дискомфорт у затримці — це реакція на вуглекислий газ, а не брак кисню.","La incomodidad al retener es una reacción al dióxido de carbono, no a la falta de oxígeno.","L'inconfort en apnée est une réaction au dioxyde de carbone, pas à un manque d'oxygène.","Das Unbehagen beim Anhalten ist eine Reaktion auf Kohlendioxid, nicht auf Sauerstoffmangel.",
dict,Дисциплінований,Дисциплінований,Disciplinado,Discipliné,Diszipliniert,
dict,Дих. сила,Дих. сила,Aliento,Souffle,Atem,
dict,Дихай,Дихай,Respira,Respire,Atme,
dict,Дихай глибоко,Дихай глибоко,Respira hondo,Respire profondément,Atme tief,
dict,Дихай лише сидячи або лежачи,Дихай лише сидячи або лежачи,Practica solo sentado o tumbado,Pratique seulement assis ou allongé,Übe nur im Sitzen oder Liegen,
dict,Дихай повільно,Дихай повільно,Respira despacio,Respire lentement,Atme langsam,
dict,Дихай рівно й починай з кінцівок. Уникай різких затримок дихання в крижаній воді — спрацьовує рефлекс пірнальника.,Дихай рівно й починай з кінцівок. Уникай різких затримок дихання в крижаній воді — спрацьовує рефлекс пірнальника.,Respira de forma pareja y empieza por las extremidades. Evita retenciones bruscas en agua helada — se dispara el reflejo de buceo.,Respire régulièrement et commence par les extrémités. Évite les apnées brusques en eau glacée — le réflexe de plongée s'active.,Atme gleichmäßig und beginne bei den Gliedmaßen. Vermeide abruptes Luftanhalten in eiskaltem Wasser — der Tauchreflex setzt ein.,
dict,"Дихай спокійно й рівно. Виходь, якщо німіють кінцівки.","Дихай спокійно й рівно. Виходь, якщо німіють кінцівки.",Respira con calma y parejo. Sal si se te entumecen las extremidades.,Respire calmement et régulièrement. Sors si tes extrémités s'engourdissent.,"Atme ruhig und gleichmäßig. Steig aus, wenn die Gliedmaßen taub werden.",
dict,Дихальна практика,Дихальна практика,Práctica de respiración,Pratique de respiration,Atempraktik,
dict,Дихальна сила,Дихальна сила,Fuerza respiratoria,Force respiratoire,Atemkraft,
dict,Дихальні практики,Дихальні практики,Prácticas de respiración,Pratiques de respiration,Atempraktiken,
dict,Дихання,Дихання,Respiración,Respiration,Atmung,
dict,Дихання 4-7-8,Дихання 4-7-8,Respiración 4-7-8,Respiration 4-7-8,4-7-8-Atmung,
dict,Дихання 4-7-8 (вдих 4 · затримка 7 · видих 8) — найкраще для сну й тривоги: довгий видих вмикає режим спокою. Зроби 4–6 циклів у ліжку.,Дихання 4-7-8 (вдих 4 · затримка 7 · видих 8) — найкраще для сну й тривоги: довгий видих вмикає режим спокою. Зроби 4–6 циклів у ліжку.,"Respiración 4-7-8 (inhala 4 · retén 7 · exhala 8): lo mejor para el sueño y la ansiedad, la exhalación larga enciende el modo calma. Haz 4–6 ciclos en la cama.","Respiration 4-7-8 (inspire 4 · retiens 7 · expire 8) : idéale pour le sommeil et l'anxiété, la longue expiration enclenche le mode calme. Fais 4–6 cycles au lit.",4-7-8-Atmung (ein 4 · halten 7 · aus 8) — am besten für Schlaf und Angst: Das lange Ausatmen schaltet den Ruhemodus ein. Mach 4–6 Zyklen im Bett.,
dict,Дихання спокійне й рівне.,Дихання спокійне й рівне.,La respiración es tranquila y uniforme.,La respiration est calme et régulière.,Die Atmung ist ruhig und gleichmäßig.,
dict,Дихання: 60 сесій,Дихання: 60 сесій,Respiración: 60 sesiones,Respiration : 60 séances,Atmung: 60 Sitzungen,
dict,Дихань у раунді,Дихань у раунді,Respiraciones por ronda,Respirations par round,Atemzüge pro Runde,
dict,Для енергії: метод Віма Хофа вранці + холодний душ. Підіймає дофамін і бадьорість надовго.,Для енергії: метод Віма Хофа вранці + холодний душ. Підіймає дофамін і бадьорість надовго.,Para la energía: método Wim Hof por la mañana + ducha fría. Sube la dopamina y la vitalidad por mucho tiempo.,Pour l'énergie : méthode Wim Hof le matin + douche froide. Élève la dopamine et la vivacité longtemps.,Für Energie: Wim-Hof-Methode am Morgen + kalte Dusche. Hebt Dopamin und Frische für lange Zeit.,
dict,Для медитації,Для медитації,Para meditar,Pour méditer,Zum Meditieren,
dict,Для роботи/навчання. Не варто слухати перед сном.,Для роботи/навчання. Не варто слухати перед сном.,Para trabajar/estudiar. No conviene escucharlo antes de dormir.,Pour travailler/étudier. À ne pas écouter avant de dormir.,Für Arbeit/Lernen. Nicht vor dem Schlaf hören.,
dict,Для сну,Для сну,Para dormir,Pour dormir,Zum Schlafen,
dict,Для сну: дихання 4-7-8 у ліжку + дельта/тета-хвилі або 174 Гц фоном. Уникай яскравого світла та бета-хвиль перед сном.,Для сну: дихання 4-7-8 у ліжку + дельта/тета-хвилі або 174 Гц фоном. Уникай яскравого світла та бета-хвиль перед сном.,Para dormir: respiración 4-7-8 en la cama + ondas delta/theta o 174 Hz de fondo. Evita la luz intensa y las ondas beta antes de dormir.,Pour dormir : respiration 4-7-8 au lit + ondes delta/thêta ou 174 Hz en fond. Évite la lumière vive et les ondes bêta avant le coucher.,Zum Schlafen: 4-7-8-Atmung im Bett + Delta-/Theta-Wellen oder 174 Hz im Hintergrund. Vermeide helles Licht und Beta-Wellen vor dem Schlaf.,
dict,Для фокусу: бета- або гамма-хвилі (40 Гц) у навушниках + квадратне дихання перед стартом. Холодний душ зранку теж добре заряджає.,Для фокусу: бета- або гамма-хвилі (40 Гц) у навушниках + квадратне дихання перед стартом. Холодний душ зранку теж добре заряджає.,Para el foco: ondas beta o gamma (40 Hz) con auriculares + respiración en caja antes de empezar. Una ducha fría por la mañana también carga bien.,Pour le focus : ondes bêta ou gamma (40 Hz) au casque + respiration carrée avant de commencer. Une douche froide le matin recharge bien aussi.,Für den Fokus: Beta- oder Gamma-Wellen (40 Hz) über Kopfhörer + Box-Atmung vor dem Start. Eine kalte Dusche am Morgen lädt ebenfalls gut auf.,
dict,Днів вживання,Днів вживання,Días de consumo,Jours de consommation,Tage mit Konsum,
dict,До,До,Hasta,Au,Bis,
dict,До вправ,До вправ,A los ejercicios,Vers les exercices,Zu den Übungen,
dict,До практик,До практик,A las prácticas,Aux pratiques,Zu den Praktiken,
dict,Добровільний контрольований стрес вчить залишатися спокійним у дискомфорті.,Добровільний контрольований стрес вчить залишатися спокійним у дискомфорті.,El estrés voluntario y controlado enseña a mantener la calma en la incomodidad.,Un stress volontaire et contrôlé apprend à rester calme dans l'inconfort.,"Freiwilliger, kontrollierter Stress lehrt, im Unbehagen ruhig zu bleiben.",
dict,Довгий видих і холод на обличчя його активують,Довгий видих і холод на обличчя його активують,Una exhalación larga y el frío en la cara lo activan,Une longue expiration et le froid sur le visage l'activent,Langes Ausatmen und Kälte im Gesicht aktivieren ihn,
dict,Додавай книги й хвилини читання — вони прокачують навичку «Знання» у твоєму розвитку.,Додавай книги й хвилини читання — вони прокачують навичку «Знання» у твоєму розвитку.,Añade libros y minutos de lectura: mejoran la habilidad «Conocimiento» en tu desarrollo.,Ajoute des livres et des minutes de lecture — ils développent la compétence « Savoir » dans ta progression.,Füge Bücher und Leseminuten hinzu — sie stärken die Fähigkeit „Wissen“ in deiner Entwicklung.,
dict,"Додай винагороду — те, чим себе порадуєш.","Додай винагороду — те, чим себе порадуєш.",Añade una recompensa: algo con lo que darte un gusto.,Ajoute une récompense — quelque chose pour te faire plaisir.,"Füge eine Belohnung hinzu — etwas, womit du dir eine Freude machst.",
dict,Додай звички у розділі «Звички».,Додай звички у розділі «Звички».,Añade hábitos en la sección «Hábitos».,Ajoute des habitudes dans la section « Habitudes ».,Füge Gewohnheiten im Bereich „Gewohnheiten“ hinzu.,
dict,Додай звичку для відстеження,Додай звичку для відстеження,Añade un hábito para seguir,Ajoute une habitude à suivre,Füge eine Gewohnheit zum Verfolgen hinzu,
dict,Додай свої дані →,Додай свої дані →,Añade tus datos →,Ajoute tes données →,Füge deine Daten hinzu →,
dict,Додано,Додано,Añadido,Ajouté,Hinzugefügt,
dict,Додати,Додати,Añadir,Ajouter,Hinzufügen,
dict,Додати книгу,Додати книгу,Añadir libro,Ajouter un livre,Buch hinzufügen,
dict,Додати у меню,Додати у меню,Añadir al menú,Ajouter au menu,Zum Menü hinzufügen,
dict,Додати час,Додати час,Añadir tiempo,Ajouter du temps,Zeit hinzufügen,
dict,Додати ›,Додати ›,Añadir ›,Ajouter ›,Hinzufügen ›,
dict,Додому,Додому,A inicio,Accueil,Nach Hause,
dict,Доказова база,Доказова база,Base de evidencia,Base de preuves,Evidenzbasis,
dict,"Доказова база радше про субʼєктивне самопочуття, ніж про конкретні «детокс»-ефекти. Завершуй холодом, якщо хочеш бадьорості, теплом — якщо розслаблення.","Доказова база радше про субʼєктивне самопочуття, ніж про конкретні «детокс»-ефекти. Завершуй холодом, якщо хочеш бадьорості, теплом — якщо розслаблення.","La evidencia va más sobre el bienestar subjetivo que sobre efectos ""detox"" concretos. Termina en frío si quieres vitalidad, en calor si quieres relajación.","Les preuves portent plus sur le bien-être subjectif que sur des effets « détox » précis. Termine par le froid pour la vivacité, par le chaud pour la détente.","Die Belege betreffen eher das subjektive Wohlbefinden als konkrete „Detox“-Effekte. Beende mit Kälte für Frische, mit Wärme für Entspannung.",
dict,Долучитися до спільноти,Долучитися до спільноти,Unirse a una comunidad,Rejoindre une communauté,Einer Gemeinschaft beitreten,
dict,Долучитися ›,Долучитися ›,Unirse ›,Rejoindre ›,Beitreten ›,
dict,Допомагає заснути,Допомагає заснути,Ayuda a conciliar el sueño,Aide à s'endormir,Hilft beim Einschlafen,
dict,Допомагає легше заснути,Допомагає легше заснути,Ayuda a conciliar el sueño más fácilmente,Aide à s'endormir plus facilement,"Hilft, leichter einzuschlafen",
dict,Допомагає швидше засинати,Допомагає швидше засинати,Ayuda a dormirse más rápido,Aide à s'endormir plus vite,"Hilft, schneller einzuschlafen",
dict,Досвід,Досвід,Experiencia,Expérience,Erfahrung,
dict,Дослідження є,Дослідження є,Con estudios,Avec études,Mit Studien,
dict,Дослідження: yoga nidra (PubMed),Дослідження: yoga nidra (PubMed),Estudio: yoga nidra (PubMed),Étude : yoga nidra (PubMed),Studie: Yoga Nidra (PubMed),
dict,Дослідження: вагус і HRV (PubMed),Дослідження: вагус і HRV (PubMed),Estudio: nervio vago y HRV (PubMed),Étude : nerf vague et HRV (PubMed),Studie: Vagusnerv und HRV (PubMed),
dict,Дослідження: дофамін і мотивація (PubMed),Дослідження: дофамін і мотивація (PubMed),Estudio: dopamina y motivación (PubMed),Étude : dopamine et motivation (PubMed),Studie: Dopamin und Motivation (PubMed),
dict,Дослідження: контрастна терапія й відновлення (PubMed),Дослідження: контрастна терапія й відновлення (PubMed),Estudio: terapia de contraste y recuperación (PubMed),Étude : thérapie de contraste et récupération (PubMed),Studie: Kontrasttherapie und Erholung (PubMed),
dict,Дослідження: метрики й норми HRV (PubMed),Дослідження: метрики й норми HRV (PubMed),Estudio: métricas y normas de HRV (PubMed),Étude : métriques et normes de HRV (PubMed),Studie: HRV-Metriken und -Normen (PubMed),
dict,Дослідження: огляд бінаурал-ритмів (PubMed),Дослідження: огляд бінаурал-ритмів (PubMed),Estudio: revisión de ritmos binaurales (PubMed),Étude : revue des rythmes binauraux (PubMed),Studie: Übersicht binauraler Beats (PubMed),
dict,Дослідження: повільне дихання й парасимпатика (PubMed),Дослідження: повільне дихання й парасимпатика (PubMed),Estudio: respiración lenta y sistema parasimpático (PubMed),Étude : respiration lente et système parasympathique (PubMed),Studie: langsame Atmung und Parasympathikus (PubMed),
dict,Дослідження: природа й відновлення уваги (PubMed),Дослідження: природа й відновлення уваги (PubMed),Estudio: naturaleza y recuperación de la atención (PubMed),Étude : nature et restauration de l'attention (PubMed),Studie: Natur und Aufmerksamkeitserholung (PubMed),
dict,Дослідження: ранкове світло й циркадний ритм (PubMed),Дослідження: ранкове світло й циркадний ритм (PubMed),Estudio: luz matinal y ritmo circadiano (PubMed),Étude : lumière du matin et rythme circadien (PubMed),Studie: Morgenlicht und zirkadianer Rhythmus (PubMed),
dict,Дослідження: регулярність сну й здоровʼя (PubMed),Дослідження: регулярність сну й здоровʼя (PubMed),Estudio: regularidad del sueño y salud (PubMed),Étude : régularité du sommeil et santé (PubMed),Studie: Schlafregelmäßigkeit und Gesundheit (PubMed),
dict,Дослідження: температура середовища й сон (PubMed),Дослідження: температура середовища й сон (PubMed),Estudio: temperatura ambiente y sueño (PubMed),Étude : température ambiante et sommeil (PubMed),Studie: Umgebungstemperatur und Schlaf (PubMed),
dict,Дослідження: тренування затримки та CO₂ (PubMed),Дослідження: тренування затримки та CO₂ (PubMed),Estudio: entrenamiento de apnea y CO₂ (PubMed),Étude : entraînement d'apnée et CO₂ (PubMed),Studie: Atemhalte-Training und CO₂ (PubMed),
dict,Дослідження: холод і катехоламіни (PubMed),Дослідження: холод і катехоламіни (PubMed),Estudio: frío y catecolaminas (PubMed),Étude : froid et catécholamines (PubMed),Studie: Kälte und Katecholamine (PubMed),
dict,Дослідження: циклічне зітхання й настрій (PubMed),Дослідження: циклічне зітхання й настрій (PubMed),Estudio: suspiro cíclico y estado de ánimo (PubMed),Étude : soupir cyclique et humeur (PubMed),Studie: zyklisches Seufzen und Stimmung (PubMed),
dict,Дослідження: читання й когнітивні функції (PubMed),Дослідження: читання й когнітивні функції (PubMed),Estudio: lectura y funciones cognitivas (PubMed),Étude : lecture et fonctions cognitives (PubMed),Studie: Lesen und kognitive Funktionen (PubMed),
dict,"Дослідження: ізометрія й тиск, метааналіз (PubMed)","Дослідження: ізометрія й тиск, метааналіз (PubMed)","Estudio: isometría y presión, metaanálisis (PubMed)","Étude : isométrie et tension, méta-analyse (PubMed)","Studie: Isometrie und Blutdruck, Metaanalyse (PubMed)",
dict,Досягнуті,Досягнуті,Alcanzados,Atteints,Erreicht,
dict,Досягти рівня,Досягти рівня,Alcanzar un nivel,Atteindre un niveau,Level erreichen,
dict,Дофамін = мотивація й прагнення,Дофамін = мотивація й прагнення,Dopamina = motivación y deseo,Dopamine = motivation et désir,Dopamin = Motivation und Verlangen,
dict,"Дофамін більше повʼязаний з прагненням і мотивацією, ніж із самим задоволенням. Він зростає в очікуванні винагороди й штовхає до дії.","Дофамін більше повʼязаний з прагненням і мотивацією, ніж із самим задоволенням. Він зростає в очікуванні винагороди й штовхає до дії.",La dopamina se liga más al deseo y la motivación que al placer en sí. Sube al anticipar una recompensa y empuja a actuar.,La dopamine est plus liée au désir et à la motivation qu'au plaisir lui-même. Elle monte en anticipation d'une récompense et pousse à agir.,Dopamin hängt mehr mit Verlangen und Motivation zusammen als mit dem Vergnügen selbst. Es steigt in Erwartung einer Belohnung und treibt zum Handeln.,
dict,Дофамін рухає тебе до мети; постійні легкі «піки» притуплюють драйв.,Дофамін рухає тебе до мети; постійні легкі «піки» притуплюють драйв.,"La dopamina te mueve hacia metas; los ""picos"" fáciles constantes embotan el impulso.",La dopamine te pousse vers tes objectifs ; les « pics » faciles constants émoussent l'élan.,Dopamin treibt dich zu Zielen; ständige leichte „Spitzen“ dämpfen den Antrieb.,
dict,"Дофамін — про мотивацію, а не лише задоволення","Дофамін — про мотивацію, а не лише задоволення","La dopamina va de motivación, no solo de placer","La dopamine, c'est la motivation, pas seulement le plaisir","Dopamin geht um Motivation, nicht nur um Vergnügen",
dict,Друг-мотиватор,Друг-мотиватор,Amigo motivador,Ami motivateur,Motivierender Freund,
dict,Духовність,Духовність,Espiritualidad,Spiritualité,Spiritualität,
dict,Душ і крижані ванни,Душ і крижані ванни,Duchas y baños de hielo,Douches et bains de glace,Duschen und Eisbäder,
dict,Діаграма оцінок,Діаграма оцінок,Gráfico de valoraciones,Graphique des notes,Bewertungsdiagramm,
dict,Діаграма сесій,Діаграма сесій,Gráfico de sesiones,Graphique des séances,Sitzungsdiagramm,
dict,Експорт у PDF,Експорт у PDF,Exportar a PDF,Exporter en PDF,Als PDF exportieren,
dict,Емоції,Емоції,Emociones,Émotions,Emotionen,
dict,Емпіричних доказів немає.,Емпіричних доказів немає.,No hay pruebas empíricas.,Aucune preuve empirique.,Keine empirischen Belege.,
dict,"Енергія, стійкість до холоду, фокус","Енергія, стійкість до холоду, фокус","Energía, tolerancia al frío, concentración","Énergie, tolérance au froid, concentration","Energie, Kältetoleranz, Fokus",
dict,Ефект,Ефект,Efecto,Effet,Wirkung,
dict,Ефект накопичувальний: навіть 10–15 хвилин на день складаються в помітний результат за місяці.,Ефект накопичувальний: навіть 10–15 хвилин на день складаються в помітний результат за місяці.,El efecto es acumulativo: incluso 10–15 minutos al día suman un resultado notable en meses.,L'effet est cumulatif : même 10–15 minutes par jour donnent un résultat notable en quelques mois.,Der Effekt summiert sich: Schon 10–15 Minuten täglich ergeben über Monate ein spürbares Ergebnis.,
dict,Живіт,Живіт,Vientre,Ventre,Bauch,
dict,Живіт випромінює приємне тепло.,Живіт випромінює приємне тепло.,El vientre irradia un calor agradable.,Le ventre irradie une chaleur agréable.,Der Bauch strahlt angenehme Wärme aus.,
dict,Жовтень,Жовтень,Octubre,Octobre,Oktober,
dict,Жодної затримки не зафіксовано.,Жодної затримки не зафіксовано.,No se registró ninguna retención.,Aucune apnée enregistrée.,Keine Haltezeit erfasst.,
dict,Жіноча,Жіноча,Femenino,Féminin,Weiblich,
dict,З чого почати,З чого почати,Por dónde empezar,Par où commencer,Womit anfangen,
dict,З чого почати?,З чого почати?,¿Por dónde empiezo?,Par où commencer ?,Wo fange ich an?,
dict,"За традицією допомагає відпустити негатив і запустити позитивні зміни, очистити підсвідомі блоки. Використовують як підтримку при новому старті.","За традицією допомагає відпустити негатив і запустити позитивні зміни, очистити підсвідомі блоки. Використовують як підтримку при новому старті.","Por tradición ayuda a soltar lo negativo y a poner en marcha cambios positivos, a limpiar bloqueos subconscientes. Se usa como apoyo ante un nuevo comienzo.","Par tradition, elle aide à lâcher le négatif et à lancer des changements positifs, à nettoyer les blocages subconscients. Utilisée comme soutien lors d'un nouveau départ.","Traditionell hilft sie, Negatives loszulassen und positive Veränderungen anzustoßen, unterbewusste Blockaden zu lösen. Wird als Unterstützung für einen Neuanfang genutzt.",
dict,"За традицією — детокс, ясність думок, самовираження й розвʼязання проблем. Використовують для прояснення розуму.","За традицією — детокс, ясність думок, самовираження й розвʼязання проблем. Використовують для прояснення розуму.","Por tradición: detox, claridad de pensamiento, autoexpresión y resolución de problemas. Se usa para aclarar la mente.","Par tradition : détox, clarté de pensée, expression de soi et résolution de problèmes. Utilisée pour clarifier l'esprit.","Traditionell: Detox, klare Gedanken, Selbstausdruck und Problemlösung. Wird zur Klärung des Geistes genutzt.",
dict,За традицією — підтримує регенерацію тканин та відчуття цілісності тіла. Використовують як фон для відпочинку й відновлення.,За традицією — підтримує регенерацію тканин та відчуття цілісності тіла. Використовують як фон для відпочинку й відновлення.,"Por tradición, apoya la regeneración de tejidos y la sensación de integridad corporal. Se usa como fondo para descansar y recuperarse.","Par tradition, il soutient la régénération des tissus et le sentiment d'intégrité du corps. Utilisé comme fond pour le repos et la récupération.",Traditionell unterstützt er die Geweberegeneration und das Gefühl körperlicher Ganzheit. Wird als Hintergrund für Ruhe und Erholung genutzt.,
dict,Завантаження…,Завантаження…,Cargando…,Chargement…,Wird geladen…,
dict,Завантажити фото,Завантажити фото,Subir foto,Téléverser une photo,Foto hochladen,
dict,Завдання й винагороди,Завдання й винагороди,Tareas y recompensas,Tâches et récompenses,Aufgaben und Belohnungen,
dict,Завершений,Завершений,Finalizado,Terminé,Abgeschlossen,
dict,Завершення,Завершення,Finalizar,Fin,Abschluss,
dict,Завершення холодом бадьорить,Завершення холодом бадьорить,Terminar en frío da energía,Finir par le froid énergise,Kaltes Ende macht munter,
dict,Завершено ,Завершено ,Completado ,Terminé ,Abgeschlossen ,
dict,Завершені,Завершені,Finalizados,Terminés,Abgeschlossene,
dict,"Заверши звичайний душ прохолодною, далі холодною водою. Дихай повільно й рівно, не затримуй дих від шоку. Дає бадьорість і дофамін надовго, гартує судини й імунітет.","Заверши звичайний душ прохолодною, далі холодною водою. Дихай повільно й рівно, не затримуй дих від шоку. Дає бадьорість і дофамін надовго, гартує судини й імунітет.","Termina la ducha normal con agua fresca y luego fría. Respira despacio y parejo, no aguantes la respiración por el shock. Da vitalidad y dopamina duraderas, endurece vasos e inmunidad.","Termine ta douche habituelle par de l'eau fraîche puis froide. Respire lentement et régulièrement, ne bloque pas ta respiration sous le choc. Donne vivacité et dopamine durables, endurcit vaisseaux et immunité.","Beende die normale Dusche mit kühlem, dann kaltem Wasser. Atme langsam und gleichmäßig, halte vor Schreck nicht die Luft an. Gibt anhaltende Frische und Dopamin, stärkt Gefäße und Immunität.",
dict,Завершити,Завершити,Terminar,Terminer,Beenden,
dict,Завершити затримку,Завершити затримку,Terminar la retención,Terminer l'apnée,Halten beenden,
dict,Загальна інформація про тебе. Зберігається у твоєму акаунті.,Загальна інформація про тебе. Зберігається у твоєму акаунті.,Información general sobre ti. Se guarda en tu cuenta.,Informations générales sur toi. Enregistrées dans ton compte.,Allgemeine Infos über dich. In deinem Konto gespeichert.,
dict,Загартований,Загартований,Endurecido,Endurci,Abgehärtet,
dict,Загартув.,Загартув.,Endurec.,Endurc.,Abhärt.,
dict,Загартування,Загартування,Endurecimiento,Endurcissement,Abhärtung,
dict,Заземлення,Заземлення,Enraizamiento,Ancrage,Erdung,
